scenario,method,rep,effort,saved-effort
hhbqp,PD.8,8,22442.164363622665,0.4393383540615903
hhbqp,PD.6,8,26399.077074766155,0.3404847338171741
hhbqp,no capping,8,40028.0,0.0
hhbqp,PEMW.9,8,31915.77454113961,0.202663771831228
hhbqp,AD.8,8,17119.016634702682,0.5723239573622794
hhbqp,AEWW,8,33254.97552585602,0.1692071668368138
hhbqp,PEMB.7,8,16343.336199522018,0.5917024033296188
hhbqp,AD.4,8,29654.512372255318,0.2591557816464645
hhbqp,PD.2,8,29924.617003202435,0.25240788939736103
hhbqp,PEBB,8,10237.676457643509,0.7442371225731109
hhbqp,AEBB,8,13767.23955988884,0.6560597691643639
hhbqp,PEWW,6,18721.0736618042,0.5272933627460812
hhbqp,PEMW.5,6,15268.679876804354,0.6144662186444714
hhbqp,AD.6,6,23475.58238434792,0.4072421375530775
hhbqp,AD.2,6,31425.57686352729,0.2065049776909581
hhbqp,PEMB.5,6,10236.73899269104,0.7415225989119523
hhbqp,PEMW.7,6,23182.49200415612,0.41464266225239577
hhbqp,PEMB.9,6,19154.548849105835,0.5163481252119524
hhbqp,PD.4,6,26853.329605579376,0.32195410550501524
hhbqp,PD.8,6,21615.380594730377,0.4542121857708722
hhbqp,PD.6,6,25802.050646543506,0.3484988726759037
hhbqp,no capping,6,39604.0,0.0
hhbqp,PEMW.9,6,31079.84479808808,0.21523470361357244
hhbqp,AD.8,6,18502.758089065548,0.5328058254452694
hhbqp,AEWW,6,33428.10165810585,0.15594127719155004
hhbqp,PEMB.7,6,14190.062643766403,0.6417012765436219
hhbqp,AD.4,6,28726.392710685734,0.2746593093958758
hhbqp,PD.2,6,28712.0016336441,0.2750226837278027
hhbqp,PEBB,6,10037.200317621231,0.7465609454191184
hhbqp,AEBB,6,13037.02755355835,0.6708153834572682
hhbqp,PEWW,12,22723.623066186905,0.4285377963437556
hhbqp,PEMW.5,12,17754.13118672371,0.5535124437500325
hhbqp,AD.6,12,22748.663376569744,0.42790807321774105
hhbqp,AD.2,12,33455.83866238594,0.15864000949638013
hhbqp,PEMB.5,12,10290.507215976717,0.7412104613223842
hhbqp,PEMW.7,12,26089.4021794796,0.3438939196388794
hhbqp,PEMB.9,12,22415.81269931793,0.4362787270063895
hhbqp,PD.4,12,29120.60937595368,0.2676639831014567
hhbqp,PD.8,12,23012.24688887596,0.4212793760970738
hhbqp,PD.6,12,25355.90708446503,0.3623401296533289
hhbqp,no capping,12,39764.0,0.0
hhbqp,PEMW.9,12,32710.593996763237,0.1773817021234475
hhbqp,AD.8,12,16414.739263534546,0.5871959746621429
hhbqp,AEWW,12,32557.76879487037,0.1812250076735145
hhbqp,PEMB.7,12,14721.111934423447,0.6297879505476449
hhbqp,AD.4,12,29604.58253002167,0.2554928445321982
hhbqp,PD.2,12,29797.863483905792,0.25063214254336097
hhbqp,PEBB,12,10033.323794126507,0.7476782065655742
hhbqp,AEBB,12,14482.814595460892,0.6357807414882584
